threshold	vertex-count	edge-count	connected-component-count	density	density-orig-V	largest-cc-size	2nd-largest-cc-size	clustering-coefficient	random-clustering-coefficient	2nd-eigenvalue	almost-disconnected-component-count	maximal-clique-count	clique-number	poisson-chi2	poisson-pvalue	goe-chi2	goe-pvalue	scale-free-KS	scale-free-KS-p-value	scale-free-alpha
0.66	5641	8769	229	0.000551245	0.000350222	5089	8	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.212293	0	1.74558
0.67	5419	7863	276	0.000535624	0.000314037	4733	10	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.201497	0	1.78436
0.68	5166	6951	336	0.000521018	0.000277613	4341	10	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.182922	0	1.83464
0.69	4909	6138	417	0.000509518	0.000245143	3878	9	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.162998	0	1.88867
0.7	4608	5427	460	0.00051128	0.000216747	3431	12	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.147634	0	1.93567
0.71	4309	4792	487	0.000516291	0.000191386	3041	13	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.137731	0	1.98334
0.72	3988	4150	539	0.000522007	0.000165745	2579	12	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.128025	0	2.04297
0.73	3613	3563	553	0.000546047	0.000142301	2161	26	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.115935	0	2.10103
0.74	3291	3039	572	0.000561354	0.000121373	1823	16	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.10339	5.5535e-31	2.17823
0.75	2987	2597	598	0.00058234	0.000103721	1389	13	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.095706	3.44025e-24	2.25528
0.76	2687	2206	601	0.00061131	8.81046e-05	1142	12	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.0820915	3.73983e-16	2.34352
0.77	2379	1849	596	0.000653673	7.38465e-05	854	19	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.0712979	6.26386e-11	2.44149
0.78	2089	1557	564	0.00071392	6.21844e-05	667	17	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.0636743	8.79749e-08	2.52426
0.79	1846	1308	552	0.000768086	5.22397e-05	446	21	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.0525834	7.3717e-05	2.64514
0.8	1534	1028	509	0.00087429	4.10569e-05	164	70	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.0459856	0.00304375	2.7977
0.81	1282	823	460	0.00100229	3.28695e-05	39	38	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.0371685	0.0578997	2.95071
0.82	1043	637	406	0.00117224	2.54409e-05	27	22	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.032899	0.208926	3.15426
0.83	848	502	346	0.00139783	2.00492e-05	14	8	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.0240116	0.712519	3.33646
0.84	700	398	302	0.00162681	1.58956e-05	8	7	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.0155663	0.995778	3.62913
0.85	523	290	233	0.0021245	1.15822e-05	6	5	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.0114598	1	3.86983
0.86	399	212	187	0.00266999	8.46699e-06	4	3	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.00788801	1	4.46532
0.87	283	147	136	0.00368393	5.87098e-06	4	3	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.00399509	1	5.02809
0.88	190	98	92	0.00545809	3.91398e-06	3	2	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.00285967	1	5.28947
0.89	119	61	58	0.00868822	2.43626e-06	3	2	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.00198908	1	5.57758
0.9	81	41	40	0.0126543	1.63748e-06	3	2	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.000627992	1	6.51713
0.91	47	24	23	0.0222017	9.58527e-07	3	2	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0.00151275	1	5.69536
0.92	20	10	10	0.0526316	3.99386e-07	2	0	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	0	1	16.3294
