threshold	vertex-count	edge-count	connected-component-count	density	density-orig-V	largest-cc-size	2nd-largest-cc-size	clustering-coefficient	random-clustering-coefficient	2nd-eigenvalue	almost-disconnected-component-count	maximal-clique-count	clique-number	poisson-chi2	poisson-pvalue	goe-chi2	goe-pvalue	scale-free-KS	scale-free-KS-p-value	scale-free-alpha
0.62	999	27868	1	0.0559036	0.0557918	999	0	nan	nan	0.674391	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.63	998	25217	1	0.0506871	0.0504845	998	0	nan	nan	0.550004	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.64	998	22821	1	0.0458711	0.0456877	998	0	nan	nan	0.53379	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.65	998	20585	1	0.0413766	0.0412112	998	0	nan	nan	0.518268	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.66	996	18430	1	0.037194	0.0368969	996	0	nan	nan	0.514417	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.67	994	16424	1	0.0332792	0.0328809	994	0	nan	nan	0.410602	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.68	986	14546	1	0.0299544	0.0291211	986	0	nan	nan	0.284501	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.69	983	12927	1	0.0267832	0.0258799	983	0	nan	nan	0.230961	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.7	974	11314	2	0.0238767	0.0226507	971	3	nan	nan	0.179422	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.71	956	9849	4	0.0215755	0.0197177	949	3	nan	nan	0.11337	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.72	933	8547	5	0.0196583	0.0171111	924	3	nan	nan	0.11205	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.73	909	7325	8	0.0177496	0.0146647	895	2	nan	nan	0.106774	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.74	889	6233	13	0.0157911	0.0124785	859	5	nan	nan	0.0726736	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.75	840	5286	18	0.0150009	0.0105826	803	3	nan	nan	0.0674819	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.76	812	4422	28	0.0134299	0.00885285	744	5	nan	nan	0.08898	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.77	771	3646	32	0.0122829	0.0072993	692	5	nan	nan	0.107714	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.78	729	3008	39	0.0113357	0.00602202	638	4	nan	nan	0.124935	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.79	683	2437	41	0.0104636	0.00487888	593	4	nan	nan	0.0781052	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.8	638	1953	44	0.00961108	0.00390991	547	4	nan	nan	0.0318227	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.81	582	1509	47	0.00892524	0.00302102	474	11	nan	nan	0.0281835	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.82	529	1182	44	0.00846365	0.00236637	418	11	nan	nan	0.0214974	3	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.83	477	914	51	0.00805102	0.00182983	351	8	nan	nan	0.0183946	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.84	417	688	56	0.00793212	0.00137738	267	21	nan	nan	0.0620646	4	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.85	359	512	57	0.00796751	0.00102503	222	6	nan	nan	0.0481852	3	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.86	296	349	53	0.00799359	0.000698699	175	7	nan	nan	0.00669619	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.87	226	225	48	0.00884956	0.00045045	106	17	nan	nan	0.0286769	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.88	175	148	40	0.00972085	0.000296296	35	34	nan	nan	0.0348174	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.89	137	101	42	0.0108416	0.000202202	18	8	nan	nan	0.132973	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.9	103	65	39	0.0123739	0.00013013	8	7	nan	nan	0.132973	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.91	60	36	25	0.020339	7.20721e-05	5	4	nan	nan	0.132973	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.92	41	22	19	0.0268293	4.4044e-05	4	3	nan	nan	0.132973	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.93	21	11	10	0.052381	2.2022e-05	3	2	nan	nan	0.132973	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
